scene,index,full_rmse,no_valid_mask_rmse,rmse_delta,rmse_relative_delta,full_ssim,no_valid_mask_ssim,ssim_delta,coverage,view_count
UMGS-Field,NDVI,0.109761550735969,0.155212603509426,0.0454510527734573,0.41408901813704646,0.769415004895284,0.726761758327484,-0.0426532465677995,0.617598107396764,26
UMGS-Field,GNDVI,0.0943069214431139,0.129777057812764,0.0354701363696502,0.3761138188679582,0.768349340328803,0.730160454144845,-0.0381888861839588,0.625200143175256,26
UMGS-Field,NDRE,0.0567434894350859,0.0790304462783612,0.0222869568432753,0.39276676611105144,0.838282420085027,0.814048414046948,-0.0242340060380789,0.625324208535356,26
Vineyard-03,NDVI,0.0619513859803026,0.0966722836548632,0.0347208976745606,0.5604539289177499,0.890488516200672,0.856285740028728,-0.0342027761719443,0.622964510436712,11
Vineyard-03,GNDVI,0.059544313699007,0.080358395522291,0.020814081823284,0.34955616296961556,0.857420525767586,0.831406826322729,-0.0260136994448575,0.625374576004672,11
Vineyard-03,NDRE,0.0413869897072965,0.0531047728251327,0.0117177831178362,0.2831272146321472,0.913822488351302,0.897947983308272,-0.0158745050430298,0.62573598600285,11
Vineyard-01,NDVI,0.05560568110509352,0.09178633852438493,0.03618065741929141,0.6506647648270104,0.9033809683539651,0.8685986778952859,-0.0347822904586792,0.6242865125032102,11
Vineyard-01,GNDVI,0.060493878004225815,0.08222433992407539,0.021730461919849578,0.3592175379851097,0.8564558191732927,0.8272056958892129,-0.029250123284079832,0.626766289082563,11
Vineyard-01,NDRE,0.043075801973993126,0.05303611606359482,0.009960314089601692,0.2312275949177963,0.9152225364338268,0.89569322087548,-0.019529315558346805,0.6271354467610426,11
